Account Number,Reporting Period,Origination Date,Credit Limit,Outstanding Balance,CLTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Type,DTI Ratio,Loan Modification,Charge-Off Status
200000,2025-02,2019-06-01,80439,46033,91.14,3.65,Current,IL,816,Fixed,51.48,No,No
200001,2025-02,2017-06-25,124494,28383,56.77,8.33,60 Days,CA,823,HELOC,17.71,No,No
200002,2025-02,2023-03-25,84804,164895,87.05,7.41,Current,GA,833,Fixed,23.13,No,No
200003,2025-02,2016-09-13,238905,174082,85.34,6.63,Current,NY,699,Fixed,53.48,No,No
200004,2025-02,2020-07-15,176733,96597,71.65,8.12,Current,TX,590,Fixed,48.57,No,No
200005,2025-02,2018-12-15,71574,112019,93.66,5.55,Current,CA,827,HELOC,39.55,No,No
200006,2025-02,2021-11-26,74980,140259,56.74,7.71,Current,FL,839,HELOC,49.12,No,No
200007,2025-02,2015-04-05,224071,113762,57.01,7.72,Current,CA,810,Fixed,35.8,No,No
200008,2025-02,2018-08-04,62780,121904,58.9,4.16,Current,CA,783,Fixed,53.18,No,No
200009,2025-02,2018-04-07,15721,100702,52.51,8.98,Current,NY,566,HELOC,29.13,No,No
200010,2025-02,2017-09-10,196542,131627,80.97,6.89,Current,NY,797,HELOC,49.87,No,No
200011,2025-02,2023-08-05,60142,198932,52.42,8.87,Current,CA,684,Fixed,41.21,No,No
200012,2025-02,2018-01-20,158506,164733,80.99,3.78,Current,TX,575,Fixed,51.75,No,No
200013,2025-02,2019-11-11,95375,73098,83.51,5.72,Current,WA,720,Fixed,30.21,No,No
200014,2025-02,2022-05-20,30468,81187,69.25,5.68,Current,FL,540,Fixed,52.92,No,No
200015,2025-02,2015-09-19,86242,199911,95.7,5.45,Current,FL,834,Fixed,27.84,No,No
200016,2025-02,2021-04-10,37439,63704,60.88,7.66,Current,FL,752,Fixed,17.92,No,No
200017,2025-02,2017-12-29,157352,102953,93.57,4.45,Current,FL,529,Fixed,17.81,No,No
200018,2025-02,2017-07-19,226593,36653,57.77,5.24,Current,CA,718,HELOC,48.32,No,No
200019,2025-02,2022-11-14,163774,77815,59.16,5.82,Current,WA,500,HELOC,48.17,No,No
200020,2025-02,2021-07-07,88166,161116,69.29,6.34,30 Days,WA,577,HELOC,21.77,No,No
200021,2025-02,2019-04-09,172288,119033,97.51,4.15,Current,GA,738,HELOC,15.17,No,No
200022,2025-02,2018-08-11,79245,66775,56.23,5.71,Current,TX,722,Fixed,41.63,No,No
200023,2025-02,2019-04-06,107785,67904,61.42,4.42,30 Days,FL,589,Fixed,19.88,No,No
200024,2025-02,2020-02-02,147128,151996,72.14,5.56,Current,NY,594,Fixed,36.86,No,No
200025,2025-02,2019-05-02,201194,114570,78.16,3.78,Current,TX,594,Fixed,15.09,No,No
200026,2025-02,2021-09-01,26435,178588,81.68,6.33,Current,GA,799,HELOC,19.94,No,No
200027,2025-02,2020-05-10,33303,58205,78.14,4.55,Current,GA,822,Fixed,46.05,No,No
200028,2025-02,2016-04-04,95727,10704,76.29,8.96,30 Days,GA,680,Fixed,26.53,No,No
200029,2025-02,2023-12-21,149366,109578,68.47,6.61,Current,GA,719,Fixed,51.86,No,No
200030,2025-02,2018-05-13,247542,58100,69.34,5.37,Current,NY,554,HELOC,16.13,No,No
200031,2025-02,2020-08-06,232932,116458,80.03,6.64,Current,GA,793,Fixed,19.66,No,Yes
200032,2025-02,2023-03-21,242807,163370,94.72,3.6,Current,NY,637,HELOC,36.96,No,No
200033,2025-02,2017-04-13,124449,191544,74.24,8.79,Current,GA,618,Fixed,25.28,No,No
200034,2025-02,2018-11-25,43327,26286,50.06,6.42,Current,GA,662,HELOC,27.02,No,No
200035,2025-02,2023-11-03,93973,168003,90.3,7.52,Current,NY,815,HELOC,31.39,No,No
200036,2025-02,2023-08-28,131852,24852,74.05,3.79,30 Days,CA,683,HELOC,32.45,No,No
200037,2025-02,2022-09-12,198293,171899,87.82,3.01,Current,FL,730,HELOC,32.49,No,No
200038,2025-02,2016-07-04,49998,73108,96.08,7.04,Current,CA,847,Fixed,22.08,No,No
200039,2025-02,2021-04-07,138278,92005,59.27,3.76,Current,IL,809,HELOC,32.2,No,No
200040,2025-02,2023-12-16,151018,183890,57.46,3.63,Current,GA,802,Fixed,27.12,Yes,No
200041,2025-02,2022-04-23,212094,41385,58.73,6.74,Current,CA,770,HELOC,24.23,No,No
200042,2025-02,2015-11-03,233626,185456,64.03,5.3,Current,CA,582,Fixed,41.55,No,No
200043,2025-02,2020-07-23,197247,193302,64.4,3.96,Current,WA,818,HELOC,38.71,No,No
200044,2025-02,2019-06-13,55890,71881,63.29,5.02,Current,GA,541,HELOC,29.45,No,No
200045,2025-02,2018-09-05,90595,198278,67.96,3.43,Current,GA,806,HELOC,23.66,No,No
200046,2025-02,2017-02-04,98600,38813,85.45,3.53,Current,FL,841,Fixed,39.04,No,No
200047,2025-02,2017-04-13,181401,10167,67.07,3.59,Current,WA,735,Fixed,27.56,No,No
200048,2025-02,2019-03-31,236871,88453,81.84,7.85,Current,CA,512,Fixed,19.87,No,No
200049,2025-02,2020-12-13,212050,184610,64.66,8.23,Current,IL,513,Fixed,50.77,No,No
200050,2025-02,2015-12-18,182001,44216,68.45,7.39,Current,WA,553,Fixed,46.3,No,No
200051,2025-02,2016-11-30,202961,61371,57.75,5.07,Current,FL,609,Fixed,36.51,No,No
200052,2025-02,2015-11-18,167456,192185,78.63,3.04,Current,FL,621,HELOC,42.09,No,No
200053,2025-02,2021-10-25,196643,199615,96.76,8.57,Current,IL,684,Fixed,47.75,No,No
200054,2025-02,2018-07-26,207020,158753,96.52,4.98,Current,FL,581,HELOC,26.42,No,No
200055,2025-02,2015-10-09,76699,175693,64.83,8.37,Current,IL,686,HELOC,25.71,No,Yes
200056,2025-02,2022-08-20,131543,16036,51.08,7.44,Current,CA,744,HELOC,48.22,No,No
200057,2025-02,2015-10-23,173937,10041,83.06,8.55,Current,FL,530,HELOC,34.66,No,No
200058,2025-02,2019-12-24,36596,92940,91.72,5.38,Current,WA,659,HELOC,38.66,No,No
200059,2025-02,2023-02-21,35913,81193,84.58,4.16,Current,IL,847,Fixed,53.96,No,No
200060,2025-02,2021-05-06,20274,42685,82.31,5.61,Current,CA,817,HELOC,31.8,No,No
200061,2025-02,2016-02-27,67460,19019,70.32,4.77,Current,TX,754,Fixed,36.11,No,No
200062,2025-02,2022-06-12,60703,8380,87.03,6.23,Current,CA,512,Fixed,54.38,No,No
200063,2025-02,2015-06-02,227129,118059,51.41,7.5,Current,GA,576,Fixed,18.81,No,No
200064,2025-02,2020-11-27,199666,66248,86.77,8.1,30 Days,TX,575,HELOC,54.4,No,No
200065,2025-02,2019-01-04,133415,190316,60.57,6.89,90+ Days,GA,682,Fixed,22.63,No,No
200066,2025-02,2021-02-16,38280,123875,69.7,7.94,Current,NY,759,Fixed,37.1,No,No
200067,2025-02,2019-02-16,231911,104158,64.58,5.14,Current,IL,794,HELOC,46.85,No,No
200068,2025-02,2016-06-24,159935,151909,60.46,8.94,Current,IL,666,HELOC,34.87,No,No
200069,2025-02,2020-03-14,184741,176494,51.65,3.74,Current,GA,583,Fixed,15.11,No,No
200070,2025-02,2019-05-27,204653,179988,76.47,6.98,Current,WA,837,HELOC,23.49,No,No
200071,2025-02,2019-09-19,198634,60231,87.69,5.0,Current,TX,788,Fixed,50.79,No,Yes
200072,2025-02,2017-01-13,139764,74742,68.57,3.59,Current,CA,562,HELOC,15.92,No,No
200073,2025-02,2018-04-16,27197,9066,93.39,4.97,Current,NY,647,HELOC,26.39,No,No
200074,2025-02,2016-12-15,99692,84760,57.6,4.21,Current,NY,637,HELOC,33.35,No,No
200075,2025-02,2015-01-05,162127,41607,95.4,5.81,Current,TX,668,HELOC,35.21,No,No
200076,2025-02,2018-04-29,243474,66944,70.13,7.17,Current,FL,541,HELOC,51.03,No,No
200077,2025-02,2018-10-25,76079,173796,98.31,4.44,30 Days,NY,588,Fixed,39.46,No,No
200078,2025-02,2017-06-18,52429,160237,97.93,8.13,Current,WA,792,Fixed,41.5,No,No
200079,2025-02,2018-09-07,79472,172339,76.68,6.5,Current,GA,607,HELOC,42.09,No,No
200080,2025-02,2018-11-30,45127,50102,61.58,8.99,Current,NY,823,HELOC,50.78,No,No
200081,2025-02,2023-06-02,64928,164930,88.14,5.3,Current,FL,632,HELOC,36.99,No,No
200082,2025-02,2019-05-04,143537,9491,90.43,7.99,30 Days,IL,787,Fixed,27.89,No,No
200083,2025-02,2017-07-18,235950,94635,71.79,7.45,Current,FL,812,Fixed,46.13,No,No
200084,2025-02,2021-02-04,170464,162417,51.78,7.77,Current,NY,536,HELOC,52.36,No,No
200085,2025-02,2018-03-01,202550,30169,71.19,5.23,Current,WA,788,HELOC,43.65,No,No
200086,2025-02,2019-06-26,45084,127414,95.3,4.74,Current,FL,777,HELOC,43.46,No,No
200087,2025-02,2020-03-31,93387,42837,82.45,6.93,Current,FL,571,Fixed,34.9,No,No
200088,2025-02,2017-11-05,235293,34720,69.71,4.46,30 Days,NY,616,Fixed,39.32,No,No
200089,2025-02,2022-02-28,130821,109277,52.54,3.62,Current,GA,818,HELOC,47.06,No,No
200090,2025-02,2016-06-23,153678,99923,85.82,7.18,Current,GA,574,Fixed,30.5,No,No
200091,2025-02,2017-07-22,46723,161400,64.78,5.72,Current,GA,553,HELOC,21.86,No,No
200092,2025-02,2023-12-20,79293,17834,50.15,6.13,Current,FL,723,Fixed,36.58,No,No
200093,2025-02,2017-04-06,36386,57572,56.17,6.51,Current,IL,527,HELOC,18.37,No,No
200094,2025-02,2021-08-02,151800,26237,61.63,8.35,Current,CA,536,HELOC,51.63,No,No
200095,2025-02,2023-11-06,12168,34334,91.45,3.93,Current,WA,698,Fixed,27.79,No,No
200096,2025-02,2019-02-03,192753,30740,78.7,7.28,Current,WA,693,HELOC,35.81,Yes,No
200097,2025-02,2020-02-17,33790,57297,64.18,8.16,60 Days,TX,577,Fixed,42.98,No,Yes
200098,2025-02,2017-09-25,67738,163428,91.9,4.08,30 Days,IL,513,Fixed,18.44,No,No
200099,2025-02,2017-02-20,149954,126871,55.51,8.95,Current,IL,573,HELOC,49.8,No,No
200100,2025-02,2023-06-21,13477,149934,52.76,4.33,Current,TX,818,HELOC,38.73,Yes,No
200101,2025-02,2023-10-10,173424,90387,81.76,4.88,Current,TX,600,HELOC,25.19,No,No
200102,2025-02,2019-03-16,212488,168206,55.55,3.98,Current,WA,849,HELOC,33.62,No,No
200103,2025-02,2022-09-16,212524,184843,85.4,7.65,30 Days,IL,842,HELOC,40.6,No,No
200104,2025-02,2020-11-30,120403,36139,64.96,6.99,30 Days,WA,682,HELOC,39.69,No,No
200105,2025-02,2015-06-09,172312,140260,96.92,8.64,Current,NY,654,Fixed,38.79,No,No
