Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
300000,2025-02,20844,21058,22.38,50,Paid in Full,Current,773,70.23,No
300001,2025-02,7126,16717,19.35,372,Paid in Full,Current,639,61.4,No
300002,2025-02,33928,689,14.71,135,Missed Payment,Current,682,30.57,No
300003,2025-02,30311,40042,24.16,59,Paid in Full,60 Days,815,74.74,No
300004,2025-02,31862,21186,18.19,109,Missed Payment,Current,619,47.11,No
300005,2025-02,14539,29701,11.06,900,Paid in Full,Current,511,91.83,No
300006,2025-02,18602,13962,22.41,103,Missed Payment,Current,845,41.8,No
300007,2025-02,41324,37476,10.86,51,Paid in Full,Current,594,79.41,No
300008,2025-02,28745,10453,24.72,625,Partial Payment,Current,616,88.59,No
300009,2025-02,23718,33840,23.2,748,Paid in Full,Current,594,92.43,No
300010,2025-02,43710,44749,13.28,136,Paid in Full,Current,754,63.57,No
300011,2025-02,24683,4553,17.62,938,Partial Payment,30 Days,610,66.47,No
300012,2025-02,27344,9791,10.21,484,Partial Payment,Current,828,65.15,No
300013,2025-02,17217,3121,21.85,154,Paid in Full,Current,588,35.45,No
300014,2025-02,46295,24673,18.94,108,Paid in Full,Current,839,76.01,No
300015,2025-02,15308,1662,12.37,877,Paid in Full,Current,820,24.62,No
300016,2025-02,27363,35114,11.34,538,Missed Payment,Current,569,58.88,No
300017,2025-02,35343,4290,17.55,337,Paid in Full,30 Days,594,79.92,No
300018,2025-02,39098,43711,15.53,749,Paid in Full,Current,733,21.38,No
300019,2025-02,12069,823,21.77,684,Partial Payment,Current,629,44.29,Yes
300020,2025-02,6979,41850,21.25,689,Paid in Full,Current,697,65.85,No
300021,2025-02,17528,43272,15.81,796,Paid in Full,Current,575,70.61,No
300022,2025-02,10416,4154,21.56,947,Partial Payment,Current,681,61.9,No
300023,2025-02,26795,36306,17.68,978,Partial Payment,Current,568,23.83,No
300024,2025-02,29469,21749,21.78,596,Paid in Full,Current,505,30.73,No
300025,2025-02,32170,25904,13.79,648,Paid in Full,Current,786,18.13,No
300026,2025-02,47586,12197,21.12,719,Paid in Full,Current,551,65.57,No
300027,2025-02,19894,8683,10.65,806,Partial Payment,Current,776,31.92,No
300028,2025-02,9147,19957,24.06,477,Paid in Full,Current,723,81.83,No
300029,2025-02,5078,797,14.6,595,Paid in Full,Current,662,65.74,No
300030,2025-02,8768,16026,15.09,193,Missed Payment,Current,566,91.61,No
300031,2025-02,28482,12579,12.15,210,Partial Payment,Current,720,82.65,No
300032,2025-02,43515,35510,17.35,126,Paid in Full,Current,832,54.07,No
300033,2025-02,40004,43015,24.12,925,Paid in Full,Current,529,63.03,No
300034,2025-02,39704,12728,19.08,626,Paid in Full,Current,643,36.15,Yes
300035,2025-02,12695,20403,21.8,56,Paid in Full,Current,656,8.04,No
300036,2025-02,2582,43077,18.18,585,Partial Payment,Current,584,78.1,No
300037,2025-02,35048,12132,22.01,489,Partial Payment,Current,803,12.51,No
300038,2025-02,38142,18444,17.96,628,Partial Payment,Current,796,7.47,No
300039,2025-02,47504,3663,15.24,581,Paid in Full,Current,622,88.88,No
300040,2025-02,24456,33894,23.96,907,Paid in Full,Current,736,37.05,No
300041,2025-02,3712,9442,24.05,518,Partial Payment,Current,707,31.06,No
300042,2025-02,31179,8221,19.1,321,Missed Payment,Current,600,47.71,No
300043,2025-02,32496,29470,22.53,585,Partial Payment,Current,613,6.98,No
300044,2025-02,17336,37509,22.41,933,Paid in Full,Current,821,83.94,No
300045,2025-02,2081,24130,23.39,550,Paid in Full,Current,679,44.87,No
300046,2025-02,10393,27674,16.72,930,Paid in Full,Current,542,54.48,No
300047,2025-02,18485,29226,11.91,389,Paid in Full,Current,814,78.91,No
300048,2025-02,38046,42357,22.06,512,Partial Payment,Current,511,67.24,No
300049,2025-02,27429,10625,16.46,88,Partial Payment,Current,588,62.93,No
300050,2025-02,37017,25431,14.66,436,Paid in Full,Current,757,92.79,No
300051,2025-02,27445,8146,16.1,600,Partial Payment,Current,702,8.0,No
300052,2025-02,14797,2069,17.65,318,Paid in Full,Current,625,53.66,No
300053,2025-02,33048,2790,15.31,116,Paid in Full,Current,629,28.84,No
300054,2025-02,46216,10504,13.98,423,Paid in Full,Current,780,73.41,No
300055,2025-02,13808,32064,21.56,422,Paid in Full,Current,544,45.53,No
300056,2025-02,7794,31618,10.92,839,Paid in Full,Current,501,73.65,No
300057,2025-02,18089,19403,21.13,620,Paid in Full,Current,805,49.25,No
300058,2025-02,34074,36475,19.95,938,Paid in Full,Current,716,90.04,No
