Account Number,Reporting Period,Origination Date,Loan Amount,LTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Purpose,DTI Ratio,Loan Modification,Charge-Off Status
100000,2025-02,2017-08-31,852582,57.62,3.38,Current,CA,676,Purchase,14.73,No,No
100001,2025-02,2022-06-09,738663,92.74,3.56,Current,NY,731,Purchase,17.57,No,No
100002,2025-02,2021-01-22,797163,65.35,3.36,Current,CA,531,Cash-Out Refinance,19.97,No,No
100003,2025-02,2015-09-29,540723,54.9,5.1,Current,GA,736,Cash-Out Refinance,15.92,No,No
100004,2025-02,2018-01-13,207912,54.42,7.02,Current,IL,719,Refinance,31.44,No,No
100005,2025-02,2016-08-13,717190,51.49,4.11,Current,FL,631,Purchase,15.64,No,No
100006,2025-02,2019-12-06,970640,89.29,3.78,Current,GA,688,Cash-Out Refinance,31.43,No,No
100007,2025-02,2023-07-29,405041,84.99,3.57,Current,TX,766,Refinance,12.68,No,No
100008,2025-02,2023-06-15,986766,55.97,7.5,Current,IL,820,Cash-Out Refinance,12.6,No,No
100009,2025-02,2017-07-17,607994,88.94,2.57,Current,CA,668,Purchase,46.43,No,No
100010,2025-02,2021-02-11,642976,64.0,7.75,Current,IL,770,Refinance,38.92,No,No
100011,2025-02,2018-09-30,344512,64.15,7.27,Current,TX,713,Purchase,18.34,No,No
100012,2025-02,2019-03-25,117435,99.45,6.73,Current,NY,502,Refinance,40.33,No,No
100013,2025-02,2017-10-31,83601,61.04,7.37,90+ Days,GA,780,Purchase,48.02,No,No
100014,2025-02,2015-09-22,734666,56.85,4.63,Current,NY,728,Cash-Out Refinance,21.57,No,No
100015,2025-02,2016-06-25,913901,99.55,4.41,Current,GA,684,Cash-Out Refinance,34.33,No,No
100016,2025-02,2022-11-30,118250,71.87,4.76,Current,FL,809,Cash-Out Refinance,13.56,No,No
100017,2025-02,2016-07-11,687032,72.39,5.27,Current,FL,716,Refinance,19.85,No,No
100018,2025-02,2023-07-03,455855,64.9,4.28,Current,TX,836,Cash-Out Refinance,11.73,No,No
100019,2025-02,2017-09-09,456572,62.68,3.92,Current,GA,839,Refinance,34.32,No,No
100020,2025-02,2018-01-23,670020,82.1,7.45,30 Days,WA,654,Refinance,39.65,No,No
100021,2025-02,2019-08-09,696108,70.51,2.94,Current,WA,708,Cash-Out Refinance,46.86,No,No
100022,2025-02,2018-04-28,955119,89.62,3.3,Current,GA,701,Purchase,35.55,No,No
100023,2025-02,2019-11-24,544560,64.6,8.24,Current,NY,580,Cash-Out Refinance,14.16,No,No
100024,2025-02,2023-07-04,574136,68.09,5.24,Current,IL,817,Refinance,30.41,No,No
100025,2025-02,2021-02-22,786652,78.64,5.61,Current,IL,612,Purchase,25.45,No,No
100026,2025-02,2017-06-06,620552,72.1,4.68,Current,FL,786,Refinance,43.32,No,No
100027,2025-02,2020-02-28,643706,88.95,3.16,Current,NY,560,Refinance,22.87,No,No
100028,2025-02,2022-06-04,463768,71.05,2.8,90+ Days,WA,671,Refinance,45.21,No,No
100029,2025-02,2018-12-01,591017,63.05,2.74,Current,CA,689,Cash-Out Refinance,41.66,No,No
100030,2025-02,2021-10-29,597071,59.17,7.96,30 Days,IL,813,Purchase,30.5,No,No
100031,2025-02,2021-12-30,167674,99.85,8.05,60 Days,NY,830,Cash-Out Refinance,19.54,No,No
100032,2025-02,2015-03-07,953009,66.64,2.69,Current,NY,569,Purchase,20.97,No,No
100033,2025-02,2023-08-14,734054,68.44,2.92,Current,CA,627,Cash-Out Refinance,11.81,No,No
100034,2025-02,2021-12-05,762118,69.37,6.79,Current,GA,511,Cash-Out Refinance,36.13,No,No
100035,2025-02,2016-07-25,733692,82.14,4.68,Current,WA,662,Refinance,27.32,No,Yes
100036,2025-02,2023-10-25,190716,83.16,5.71,Current,NY,814,Cash-Out Refinance,13.73,No,No
100037,2025-02,2022-06-12,744921,80.35,3.65,Current,WA,633,Refinance,15.36,No,No
100038,2025-02,2015-09-17,274473,62.1,5.95,Current,GA,544,Purchase,20.25,No,No
100039,2025-02,2023-05-10,859426,98.08,4.77,Current,WA,608,Cash-Out Refinance,25.36,No,No
100040,2025-02,2022-07-19,712440,62.72,3.13,Current,FL,795,Refinance,23.52,No,No
100041,2025-02,2015-03-02,543587,93.72,5.56,Current,IL,715,Cash-Out Refinance,49.56,No,No
100042,2025-02,2022-09-18,925208,94.94,6.79,Current,TX,555,Purchase,44.49,No,No
100043,2025-02,2017-10-21,724340,98.36,2.82,Current,FL,833,Purchase,29.41,No,Yes
100044,2025-02,2017-08-08,723510,78.42,8.08,Current,WA,712,Refinance,18.57,No,No
100045,2025-02,2015-06-11,860308,65.49,5.1,Current,IL,673,Cash-Out Refinance,22.73,No,No
100046,2025-02,2019-07-26,641220,99.7,4.77,Current,IL,673,Cash-Out Refinance,20.84,No,No
100047,2025-02,2022-07-08,780295,64.83,4.31,Current,TX,709,Refinance,37.42,No,Yes
100048,2025-02,2021-05-08,254478,61.66,5.23,Current,IL,613,Refinance,49.34,No,Yes
100049,2025-02,2015-12-22,370589,69.71,5.82,Current,WA,591,Cash-Out Refinance,11.45,No,No
100050,2025-02,2015-09-23,768595,53.69,8.19,Current,FL,701,Purchase,15.62,No,No
100051,2025-02,2022-02-19,348086,53.42,3.49,Current,NY,648,Cash-Out Refinance,36.27,No,Yes
100052,2025-02,2020-04-18,922208,55.18,3.56,90+ Days,CA,690,Purchase,18.21,No,No
100053,2025-02,2016-11-25,960955,97.63,7.9,Current,IL,692,Cash-Out Refinance,45.12,No,No
100054,2025-02,2017-10-11,90132,94.17,8.14,Current,CA,819,Cash-Out Refinance,48.52,No,No
100055,2025-02,2023-04-12,400386,84.06,4.69,Current,FL,819,Purchase,11.6,No,No
100056,2025-02,2017-03-25,601338,59.24,2.99,Current,TX,790,Refinance,29.85,No,No
100057,2025-02,2016-08-23,748065,66.31,5.86,30 Days,GA,763,Cash-Out Refinance,39.6,No,No
100058,2025-02,2022-08-28,429541,93.52,5.47,60 Days,FL,561,Purchase,32.87,No,No
100059,2025-02,2017-12-27,422188,66.66,2.57,Current,NY,679,Cash-Out Refinance,14.7,No,No
100060,2025-02,2018-05-30,323166,93.94,3.46,90+ Days,CA,812,Cash-Out Refinance,36.77,No,No
100061,2025-02,2020-07-04,370318,93.99,3.83,Current,CA,568,Cash-Out Refinance,32.68,No,No
100062,2025-02,2021-08-04,476550,72.78,8.44,Current,NY,593,Purchase,11.51,No,No
100063,2025-02,2015-11-19,849803,58.92,7.79,90+ Days,GA,506,Refinance,12.8,No,No
100064,2025-02,2017-11-30,268646,65.95,7.23,Current,NY,507,Refinance,43.5,No,No
100065,2025-02,2016-04-30,566897,51.22,4.04,60 Days,WA,571,Refinance,13.51,No,No
100066,2025-02,2022-05-06,796034,64.93,3.77,Current,TX,591,Purchase,32.46,No,No
100067,2025-02,2023-05-13,807509,52.81,4.57,Current,TX,656,Purchase,42.26,No,No
100068,2025-02,2020-11-11,137215,78.81,2.97,Current,FL,643,Refinance,28.34,No,No
100069,2025-02,2016-11-20,72278,75.89,7.07,Current,GA,636,Cash-Out Refinance,26.29,No,No
100070,2025-02,2023-10-18,264511,81.09,4.3,Current,CA,814,Refinance,43.32,No,No
