Account Number,Reporting Period,Loan Type,Origination Date,Loan Amount,Credit Limit,Outstanding Balance,LTV Ratio,DTI Ratio,Interest Rate,Delinquency Status,Credit Score,Property State,Loan Purpose,Loan Modification,Charge-Off Status,Origination Channel,Loan Term (Months),ARM Fixed Term (Years),Servicer Name,Securitization Status
400000,2025-02,First Lien Mortgage,2017-06-14,962227,379853,208782,89.44,31.57,5.73,Current,620,GA,Cash-Out Refinance,No,No,Correspondent,360,7,Bank C,Yes
400001,2025-02,Home Equity Loan,2018-05-27,871701,108462,135897,92.82,20.95,6.56,Current,579,GA,Purchase,No,No,Direct,360,7,Non-Bank D,No
400002,2025-02,First Lien Mortgage,2023-05-02,532510,265175,257697,59.96,40.03,8.48,Current,697,WA,Refinance,No,No,Direct,240,7,Bank C,No
400003,2025-02,Home Equity Loan,2020-06-15,586274,277364,346410,47.23,23.85,5.71,Current,640,NY,Purchase,No,No,Correspondent,240,5,Bank B,No
400004,2025-02,Home Equity Loan,2023-02-11,231345,311298,97072,81.48,21.68,4.51,Current,543,GA,Purchase,No,No,Direct,360,7,Bank C,No
400005,2025-02,Home Equity Loan,2017-05-27,838756,397104,383359,71.04,57.46,4.97,Current,658,WA,Home Improvement,No,No,Retail,360,10,Non-Bank D,No
400006,2025-02,Home Equity Loan,2018-06-18,232060,418923,443395,48.79,46.08,6.03,Current,831,WA,Cash-Out Refinance,No,No,Broker,360,5,Bank A,No
400007,2025-02,First Lien Mortgage,2019-03-22,541774,124653,286865,80.75,58.09,5.33,Current,577,IL,Home Improvement,Yes,No,Correspondent,240,7,Bank C,No
400008,2025-02,First Lien Mortgage,2019-04-05,212708,48253,157425,83.59,43.6,9.07,Current,823,IL,Home Improvement,No,No,Retail,180,3,Bank C,Yes
400009,2025-02,First Lien Mortgage,2015-07-29,700934,227500,20660,61.4,25.88,8.49,Current,539,WA,Home Improvement,No,No,Correspondent,240,7,Bank A,No
400010,2025-02,Home Equity Loan,2022-01-29,821994,156832,272331,98.93,57.21,7.13,Current,521,IL,Refinance,No,No,Direct,180,5,Bank B,No
400011,2025-02,First Lien Mortgage,2020-02-15,982033,226174,6500,88.02,10.05,5.84,Current,639,WA,Home Improvement,No,No,Correspondent,240,10,Bank B,Yes
400012,2025-02,Home Equity Loan,2021-09-13,512096,86691,172466,73.47,17.78,6.67,Current,511,IL,Cash-Out Refinance,No,No,Direct,240,5,Bank B,No
400013,2025-02,First Lien Mortgage,2022-05-10,940852,306081,206390,65.89,15.35,7.51,Current,540,CA,Home Improvement,No,No,Retail,180,10,Bank B,No
400014,2025-02,Home Equity Loan,2022-04-23,387048,94263,344928,40.6,45.66,7.63,Current,803,GA,Refinance,No,No,Retail,240,7,Bank A,No
400015,2025-02,First Lien Mortgage,2016-08-04,194988,169754,304203,84.0,51.26,3.02,Current,590,TX,Cash-Out Refinance,No,No,Broker,240,10,Non-Bank D,No
400016,2025-02,First Lien Mortgage,2021-02-07,943499,414470,377525,59.72,41.89,8.21,Current,576,NY,Purchase,No,No,Broker,240,7,Non-Bank D,No
400017,2025-02,First Lien Mortgage,2017-04-18,204591,410158,121493,81.98,56.72,5.68,Current,688,GA,Cash-Out Refinance,No,No,Direct,240,5,Bank A,Yes
400018,2025-02,Home Equity Loan,2019-12-07,360549,21173,299164,67.73,58.06,2.99,Current,750,CA,Cash-Out Refinance,No,No,Retail,360,5,Non-Bank D,No
400019,2025-02,Home Equity Loan,2022-12-24,950154,493726,348563,91.16,34.39,7.4,Current,767,NY,Refinance,No,No,Direct,240,7,Bank B,No
400020,2025-02,First Lien Mortgage,2021-02-08,157476,323904,265599,54.12,29.86,4.54,30 Days,577,NY,Cash-Out Refinance,No,No,Correspondent,180,3,Bank A,No
400021,2025-02,Home Equity Loan,2022-07-09,158176,484750,355577,99.65,23.64,3.81,Current,680,TX,Refinance,No,No,Correspondent,240,5,Bank B,No
400022,2025-02,First Lien Mortgage,2016-09-19,524275,115916,267558,99.8,44.82,6.81,Current,513,NY,Purchase,No,No,Retail,360,10,Bank C,No
400023,2025-02,First Lien Mortgage,2018-01-27,68528,101163,327446,88.7,40.79,4.12,Current,588,TX,Purchase,No,No,Direct,240,5,Non-Bank D,Yes
400024,2025-02,First Lien Mortgage,2015-08-05,532176,356900,139119,51.41,31.71,6.23,Current,586,GA,Cash-Out Refinance,No,No,Broker,180,10,Bank A,Yes
400025,2025-02,First Lien Mortgage,2020-03-24,984553,339455,173822,65.16,40.68,5.04,Current,531,NY,Purchase,No,No,Retail,240,7,Bank A,Yes
400026,2025-02,First Lien Mortgage,2015-09-07,175729,344346,247074,47.44,19.27,6.71,Current,607,GA,Purchase,No,No,Direct,180,5,Bank B,No
400027,2025-02,Home Equity Loan,2018-11-05,71538,76314,440911,62.23,58.71,4.15,30 Days,676,TX,Purchase,No,No,Retail,360,5,Bank A,No
400028,2025-02,Home Equity Loan,2017-01-17,317321,308852,409853,59.09,15.33,3.49,Current,643,WA,Refinance,No,No,Broker,240,10,Bank A,No
400029,2025-02,First Lien Mortgage,2023-10-29,166602,472066,427945,87.64,49.74,6.21,Current,542,FL,Refinance,No,No,Correspondent,240,7,Bank C,No
400030,2025-02,Home Equity Loan,2021-11-07,383197,419082,187716,75.6,18.18,4.16,Current,596,FL,Refinance,No,No,Correspondent,360,10,Bank B,Yes
400031,2025-02,First Lien Mortgage,2015-10-13,268105,291066,36244,77.82,46.32,5.97,Current,538,IL,Purchase,No,No,Retail,180,7,Bank B,No
400032,2025-02,First Lien Mortgage,2018-03-07,187028,141762,413295,74.14,42.48,2.53,30 Days,719,GA,Home Improvement,No,No,Broker,180,7,Bank B,Yes
400033,2025-02,First Lien Mortgage,2022-06-02,799704,108217,51907,42.2,13.84,7.58,Current,805,CA,Refinance,Yes,No,Retail,360,7,Bank C,Yes
400034,2025-02,First Lien Mortgage,2021-10-24,421071,373197,56521,87.33,40.05,8.05,Current,622,TX,Cash-Out Refinance,No,No,Retail,360,5,Bank A,No
400035,2025-02,Home Equity Loan,2020-03-10,907751,323705,400011,69.61,13.59,7.91,Current,670,TX,Refinance,No,No,Correspondent,240,10,Bank C,Yes
400036,2025-02,Home Equity Loan,2023-12-15,853650,296390,332933,43.64,12.24,2.94,Current,590,GA,Refinance,No,No,Correspondent,180,7,Non-Bank D,Yes
400037,2025-02,Home Equity Loan,2018-12-27,695359,253932,19857,78.92,49.73,3.38,90+ Days,698,NY,Cash-Out Refinance,Yes,No,Broker,360,10,Bank C,No
400038,2025-02,Home Equity Loan,2021-10-07,717431,23126,256068,49.34,47.35,2.92,Current,519,CA,Refinance,No,No,Broker,360,7,Non-Bank D,No
400039,2025-02,Home Equity Loan,2018-03-24,578609,366538,301784,75.92,30.88,8.64,Current,514,IL,Home Improvement,No,No,Direct,360,3,Bank B,No
400040,2025-02,First Lien Mortgage,2015-06-05,855763,57772,328866,79.78,44.89,8.02,Current,734,TX,Purchase,No,No,Direct,360,7,Bank B,Yes
400041,2025-02,First Lien Mortgage,2018-01-11,274979,157888,14440,45.9,49.77,3.84,Current,585,CA,Home Improvement,No,No,Retail,360,5,Bank A,No
400042,2025-02,Home Equity Loan,2019-10-05,743616,260450,381953,77.71,21.01,9.35,60 Days,739,WA,Cash-Out Refinance,No,No,Broker,240,7,Bank A,No
400043,2025-02,Home Equity Loan,2023-05-16,244561,15377,30519,75.43,14.78,5.33,Current,590,NY,Cash-Out Refinance,No,No,Broker,360,3,Bank C,Yes
400044,2025-02,Home Equity Loan,2023-08-09,200915,404265,255052,67.87,23.15,6.54,60 Days,620,GA,Cash-Out Refinance,No,Yes,Retail,180,3,Bank C,Yes
400045,2025-02,First Lien Mortgage,2020-06-24,633006,254223,91315,90.43,35.96,8.39,Current,684,GA,Home Improvement,No,No,Retail,240,10,Bank A,No
400046,2025-02,First Lien Mortgage,2019-02-04,155412,172741,77046,96.84,31.06,3.62,Current,691,WA,Cash-Out Refinance,No,No,Correspondent,180,3,Bank A,Yes
400047,2025-02,First Lien Mortgage,2020-12-28,778944,112909,5390,98.01,48.24,8.12,Current,734,FL,Cash-Out Refinance,No,No,Direct,360,10,Bank B,No
400048,2025-02,Home Equity Loan,2020-07-01,679143,376860,104287,99.53,23.38,4.54,Current,654,NY,Purchase,No,No,Direct,240,7,Bank A,Yes
400049,2025-02,First Lien Mortgage,2018-12-18,205997,298991,182242,93.02,19.4,7.9,Current,745,WA,Home Improvement,No,No,Retail,360,7,Bank A,Yes
400050,2025-02,Home Equity Loan,2023-03-30,397270,482515,92768,66.76,55.05,8.1,90+ Days,662,WA,Purchase,No,No,Broker,180,5,Bank C,No
400051,2025-02,Home Equity Loan,2021-10-15,972224,35081,202125,88.89,37.21,3.26,Current,809,GA,Cash-Out Refinance,No,No,Correspondent,240,10,Bank B,No
